comment_id;username;message;feeling_pos;feeling_neg;music_ref;external_ref;phys_react
ct_1;gonzalonrok;:hand-pink-waving:;x;;;;x
ct_2;Adiel Flores Chora;:face-red-heart-shape:;x;;;;
ct_5;Albane Stalars;:pink_heart::pink_heart::pink_heart:;x;;;;
ct_6;Alan O.;Readyy🙌🏻:red_heart:;x;;;;x
ct_9;Pierrette Kaiser;:heart_suit::heart_suit::heart_suit::heart_suit:merci bcp ;x;;;;
ct_10;Lorena M;:smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes:;x;;;;
ct_13;Pierrette Kaiser;Moi!!!!!! :heart_suit::heart_suit::heart_suit::heart_suit:;x;;;;
ct_16;Patrik Hostasek;:face-blue-covering-eyes::face-blue-covering-eyes::face-blue-covering-eyes:;;x;;;x
ct_20;2T;Missing Flore, but need to give the new one a chance :winking_face: ;x;x;;x;x
ct_23;Aaron Gibson;Not gonna lie, missing Flore;;x;;x;
ct_29;Sporty Otter Pop (René Lilly);^^ Arte Concerts, The best place for music eclectics;x;;;;
ct_32;Sporty Otter Pop (René Lilly);OH I got a crown tonight! :grinning_face: Imagine!;x;;x;;
ct_34;Sporty Otter Pop (René Lilly);LED Outfits-hyper cool;x;;;;
ct_36;TheGeigs1;Kinda weird they still some of flores vocal tracks;;x;x;x;
ct_39;myh3@rtb3@tz4u;They sound so good;x;;;;
ct_42;Sporty Otter Pop (René Lilly);Wow! Huge audience there in Bilbao;x;;;x;
ct_43;Cece Boysen;<3;x;;;;
ct_44;German Farfan;What a good quality of transmission. Thank you! ;x;;;;
ct_49;Sporty Otter Pop (René Lilly);Their hearts are LED :grinning_face:;x;;;;
ct_51;Luffy;what did they do ?;;;;;
ct_54;Clem Lorena;Flore :heart_suit::heart_suit::heart_suit::heart_suit::heart_suit::heart_suit:;x;;;;
ct_63;TheGeigs1;The remix vacances is soooo good;x;;x;;
ct_69;TheGeigs1;This breakdown is also one of my favorites ;x;;x;;
ct_72;chris koehn;Rocking show!;x;;;;
ct_76;chris koehn;Brilliant production and audio engineering! Very tight band, too. ;x;;x;;
ct_77;Mathieu Le Bohec;@ 2016;;;;;
ct_82;PAA511;Moderate Earth wind and fire cover ;;x;x;;
ct_83;Mathieu Le Bohec;10%;;x;;;
ct_84;Clem Lorena;50%;;x;;;
ct_87;TheGeigs1;Their stuff is just so groovy;x;;;;
ct_88;PAA511;At least give us some top class brass section ;;x;x;;
ct_91;PAA511;synthi brass sucks ;;x;x;;
ct_93;TheGeigs1;that would be sick @paa511;x;;;;
ct_94;Steph;Yep @TheGeigs1 i'm disvoreing now, feeling the same!;x;;;;
ct_96;PAA511;yeah it would be ;;;;;
ct_102;TheGeigs1;@steph you gotta check out their performance at palais bulles, also their live version of Vacances is insane;x;;;x;
ct_103;Therdsak5U2418;:stayhome::face-turquoise-music-note::person-pink-swaying-hair::shelterin::finger-red-number-one::thanksdoc:;x;;;;x
ct_106;Facundo Acevedo;-o;;;;;
ct_107;Facundo Acevedo;0-];;;;;
ct_108;Facundo Acevedo;[0;;;;;
ct_109;Steph;Thanks @TheGeigs1 i'll check it out!;;;;;
ct_111;Steve Bukowsky;The stage look and sound is so 80's, but the outfits are some kind of sci-fi:face-green-smiling:;x;;;;
ct_114;Mateusz K. Sawczyn;Hey. What's this song called?;;;;;
ct_115;TheGeigs1;of course @steph! i should be specific, the performance of vacances im referencing is at dour ;;;;x;
ct_118;Mateusz K. Sawczyn;Thanks!;;;;;
ct_125;Steph;@TheGeigs1 thanks! Will they play that Vacance song tonight? ;x;;x;;
ct_131;Sig Sig;:thumbs_up:;x;;;;x
ct_132;Steph;@TheGeigs1 i'll pay attention, you'll let me know if I missi it!;;;;;
ct_135;Aaron Gibson;Oliver - Big City :winking_face: ;x;;;x;x
ct_147;Mathieu Le Bohec;@ARTE Concert Hum, trop bien !;;;;;
ct_150;Cece Boysen;:smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes:;x;;;;
ct_152;Roms “RMS” BPJ;bonbsoir;;;;;
ct_157;ARPAPRO magazine;:glowing_star:;x;;;;
ct_161;Steph;@Daniela Arellano I don't think so, or at least i hope not!;;x;;;
ct_165;popi 0;:bookmark_tabs::two_hearts::incoming_envelope::label::label:;x;;;;
ct_168;💜𝕾𝖆𝖒𝖆𝖗𝖆 𝕸𝖔𝖗𝖌𝖆𝖓💜;:face-fuchsia-tongue-out::face-fuchsia-tongue-out::face-fuchsia-tongue-out::face-fuchsia-tongue-out::face-fuchsia-tongue-out:;x;;;;x
ct_172;💜𝕾𝖆𝖒𝖆𝖗𝖆 𝕸𝖔𝖗𝖌𝖆𝖓💜;:face-fuchsia-tongue-out::face-fuchsia-tongue-out::face-fuchsia-tongue-out:;x;;;;x
ct_174;Daniela Arellano;:face-blue-smiling::hand-pink-waving::hand-pink-waving:;x;;;;x
ct_177;💜𝕾𝖆𝖒𝖆𝖗𝖆 𝕸𝖔𝖗𝖌𝖆𝖓💜;:hand-pink-waving::face-fuchsia-tongue-out::hand-pink-waving:;x;;;;x
ct_179;💜𝕾𝖆𝖒𝖆𝖗𝖆 𝕸𝖔𝖗𝖌𝖆𝖓💜;:white_heart::white_heart::white_heart::white_heart::white_heart:;x;;;;
ct_181;Daniela Arellano;It is okay, the new singer ;x;x;;;
ct_185;༺Ꝑմղҟ ̷ ̷ Ꞩҟմղҟ༻;everybody dance now;x;;;;
ct_189;Daniela Arellano;yes, I miss Flore's voice. But, good concert!!;x;x;;x;
ct_192;Igor;Hi guys. Glad to see you all. for everyone who is in the chat, Russian kvass and pancakes with Red caviar;x;;;x;
ct_194;Thibaud;@TheGeigs1 She sings songs that weren't written for her, that's normal. We have to give her time to make her mark.;x;x;;x;
ct_195;Fanny Reyes;I miss Flore's voice :frowning_face:;;x;;x;x
ct_197;༺Ꝑմղҟ ̷ ̷ Ꞩҟմղҟ༻;yes!) :person_cartwheeling::person_running::person_cartwheeling::person_running::person_cartwheeling::person_running::person_cartwheeling:;x;;;;x
ct_198;TheGeigs1;exactly @thibaud;;;;;
ct_200;Audrey Temporal;Oh dommage :pleading_face::loudly_crying_face: merci ;;;;;x
ct_205;Володимир Наумчук;I-Gore :potato:, hi ! :lady_beetle::eyes:;;;;;
ct_206;Steph;🕺🏻🕺🏻🕺🏻🕺🏻💃🏻💃🏻💃🏻💃🏻;x;;;;x
ct_207;ARPAPRO magazine;:smiling_face_with_sunglasses:;x;;;;
ct_210;Yunna Jolie;Me gustaria mucho verlos en vivo.:face-red-heart-shape:;;;;;
ct_212;Igor;Vo:thumbs_up:van, hi, zhuchara :lady_beetle:;;;;;x
ct_214;TheGeigs1;that crowd is movin!!;x;;;x;
ct_216;Igor;Mylene Farmer forever:sign_of_the_horns::sign_of_the_horns:;x;;;x;
ct_217;MIGUEL A. S. O.;🕺🏿🕺🏿🕺🏿🕺🏿:fire::alien_monster::party_popper:;x;;;;x
ct_218;༺Ꝑմղҟ ̷ ̷ Ꞩҟմղҟ༻;:hand-purple-blue-peace::face-red-smiling-live::finger-red-number-one:;x;;;;x
ct_220;*DST*;they need to cover christian bruhn, Captain future;;;;x;
ct_221;Igor;Igorrr the best:thumbs_up::hundred_points: :sign_of_the_horns::sign_of_the_horns:;x;;;;x
ct_223;💜𝕾𝖆𝖒𝖆𝖗𝖆 𝕸𝖔𝖗𝖌𝖆𝖓💜;aaaaaaaaaa :face-fuchsia-tongue-out::face-fuchsia-tongue-out:;x;;;;x
ct_224;Melody lane;Flore was batter sad;;x;;x;
ct_227;Mateusz K. Sawczyn;That was FIRE;x;;;;
ct_228;TheGoldenNeedle;:spouting_whale::spouting_whale::spouting_whale::sweat_droplets::sweat_droplets::sweat_droplets:;;;;;
ct_229;TheGoldenNeedle;:spouting_whale::spouting_whale::spouting_whale::sweat_droplets::sweat_droplets::sweat_droplets:;;;;;
ct_230;💜𝕾𝖆𝖒𝖆𝖗𝖆 𝕸𝖔𝖗𝖌𝖆𝖓💜;:hand-pink-waving::hand-pink-waving::hand-pink-waving::hand-pink-waving::face-fuchsia-tongue-out::hand-pink-waving::hand-pink-waving::hand-pink-waving::hand-pink-waving:;x;;;;x
ct_232;TheGeigs1;have a good night everyone;;;;x;
ct_233;David Cozzi;Great concert. Saw them in Chicago last January. They added some songs. Good mix. Thank you. :red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:;x;;;x;
ct_235;Pan Galactic Gargle Blaster;:hand-pink-waving::hand-pink-waving::hand-pink-waving:;x;;;;x
ct_237;Cece Boysen;tnx, this night saved:smiling_face_with_heart_eyes::smiling_face_with_heart_eyes:;x;;;;
ct_238;Roko Vukojević;wtfff how good are they;x;;;;
