comment_id,username,comment_date,time_delta_since_upload,message
ct_1,HardLive,2018-08-17 01:13:57.851884,12:00,"sad they don't play songs from All You Need Is Love album, sometimes Reitermania"
ct_2,Dietmar Makiol,2018-08-17 01:16:46.846361,14:49,:stuffed_flatbread:
ct_3,HardLive,2018-08-17 01:17:42.788709,15:45,"only 32 online viewers, funny"
ct_4,Shiva Ya,2018-08-17 01:19:02.264760,17:05,sind sie breit zaaarrrrt
ct_5,Richans,2018-08-17 01:23:06.494041,21:09,Greetings from the Black Metal Forest! ;)
ct_6,HardLive,2018-08-17 01:23:58.933398,22:01,norway forest ?))
ct_7,xbournerx,2018-08-17 01:24:19.544251,22:22,<3
ct_8,Richans,2018-08-17 01:25:15.680238,23:19,"No, sout-west Germany :)"
ct_9,Richans,2018-08-17 01:25:39.688521,23:42,south
ct_10,HardLive,2018-08-17 01:29:14.315233,27:17,guitars sounds a little bit soft
ct_11,Edvan Inacio,2018-08-17 01:32:05.453417,30:08,รณ louco
ct_12,HardLive,2018-08-17 01:41:25.515271,39:33,intro Friede sei mit dir :)))
ct_13,Richans,2018-08-17 01:45:32.674181,43:40,"So, jetzt kann Pauawulf einpacken! :)"
ct_14,CARLOS BELTRAN,2018-08-17 01:47:27.564437,45:35,Reiter Mania? was played?
ct_15,HardLive,2018-08-17 01:47:59.568106,46:07,yup
ct_16,Sergio Cubias,2018-08-17 01:49:13.861476,47:21,great concert
ct_17,xbournerx,2018-08-17 01:50:30.587848,48:38,:red_heart::fire::orange_heart::fire::red_heart::fire::orange_heart::fire::red_heart::fire::orange_heart::fire:
ct_18,Richans,2018-08-17 01:59:10.091390,57:17,Fett!!
ct_19,HardLive,2018-08-17 01:59:34.964689,57:42,...vom Ende der Welt thzts nice
ct_20,Richans,2018-08-17 02:00:05.409172,58:13,Yeah!
ct_21,HardLive,2018-08-17 02:00:27.280579,58:35,only 1.5 songs from All u need :(((((
ct_22,Richans,2018-08-17 02:01:55.568860,1:00:04,"Yup, that' s sad!"
