comment_id,username,comment_date,time_delta_since_upload,comment_text
ct_1,@rafaelassisdeoliveira3997,2019-08-23T03:11:13+00:00,"63 days, 5:43:18",O Rato Roeu a Roupa do Rei de Roma
ct_2,@rafaelassisdeoliveira3997,2019-08-23T03:10:21+00:00,"63 days, 5:42:26",Sensacional
ct_3,@Gamidia,2019-08-10T18:46:55+00:00,"50 days, 21:19:00",cant get enough of this live. and i saw this one live on tour also. great live.
ct_4,@cristiantoro7541,2019-07-24T19:24:31+00:00,"33 days, 21:56:36","VENGA NOMÁS COMPADRE......LO ESTAMOS ESPERANDO, OCTUBRE STGO DE CHILE CTM!!!!!!!!"
ct_5,@raimywinter2309,2019-07-10T08:23:18+00:00,"19 days, 10:55:23",Yes
ct_6,@gruliw,2019-07-08T22:53:19+00:00,"18 days, 1:25:24",One of the best videos ever. Thanks.
ct_7,@CarlosEduardo-vs3ug,2019-07-08T03:04:55+00:00,"17 days, 5:37:00",",,,, DHORA"
ct_8,@retobuhrer9731,2019-07-06T10:14:56+00:00,"15 days, 12:47:01",i like this Hendrixsche voice from Brant!
ct_9,@fafasminguela4333,2019-07-06T03:31:34+00:00,"15 days, 6:03:39",How  well the live sounds
ct_10,@Gamidia,2019-07-05T22:09:25+00:00,"15 days, 0:41:30",best version of Low Desert Punk
ct_11,@diegodiaz9802,2019-07-03T22:44:43+00:00,"13 days, 1:16:48",Vengan a 🇦🇷
ct_12,@TheUpperbutt,2019-07-03T11:33:58+00:00,"12 days, 14:06:03","Best medication, Rock and Roll."
ct_13,@radekchytil5685,2019-07-03T07:05:28+00:00,"12 days, 9:37:33",Jak jsou agresivní ti sluníčkáři.Pfujteibelkurvafix!!
ct_14,@theokidokis,2019-07-02T22:19:21+00:00,"12 days, 0:51:26",Terrible mix
ct_15,@vicmal2112,2019-07-02T14:05:13+00:00,"11 days, 16:37:18","Translation from German......""He was a founding member of Kyuss and also played drums with Fu Manchu. For his buddy Josh Homme, he acted as a catalyst in the founding of the Queens Of The Stone Age. Brant Bjork, on the road since 1999, is one of the pioneers of the Stoner Rock. For many, he is the godfather of the genre.At some point he stopped counting her. And that's why Brant Bjork really does not know exactly how many albums he has published or how many he has been instrumental in. However, it is clear that as a musician, producer and head of his own record label, Brant Bjork, born in 1973, has long since become a hero status for his fans. And is either apostrophized as ""icon"" or ""legend"".Brant Bjork was a founding member of Kyuss, was also in Fu Manchu on drum kit and is still a multi-instrumentalist. His solo debut ""Jalamanta"" he played in 1999 with guitar, bass and drums completely himself. As a drummer of Kyuss and Fu Manchu, he became the forerunner of Stoner Rock when the genre was labeled as ""Desert Rock"". For many fans of the style direction he is considered a ""godfather"" of the style direction. With this praise, the musician who knows his buddy Josh Homme since high school times, little start. ""I do not want to be the godfather of whatever-whatsoever,"" Brant Bjork said in an interview. ""I'd rather see myself as a shaman. In the sense that I travel and with my music inspire other people to make music themselves. ""Whether shaman, icon or Godfather: Brant Bjork's solo album from 2018 is called ""Mankind Woman"" and is brimming with energy. And it is, as the artist says, like all his albums and for example, a song like ""Too Many Chiefs ... (Not Enough Indians""), ""political"".Category"""
ct_16,@user-rf7rb3ok6j,2019-07-01T20:52:14+00:00,"10 days, 23:24:19",kaula
ct_17,@skullofrust,2019-07-01T20:40:58+00:00,"10 days, 23:13:03",yeah 🙏🇱🇺
ct_18,@WaSKo-u7r,2019-07-01T00:58:58+00:00,"10 days, 3:31:03",this aint Al fracking Yourgensen.
ct_19,@MrSanitsuj,2019-06-30T21:23:46+00:00,"9 days, 23:55:51","wheeler is such a great pick , they go waaaay back"
ct_20,@Nebuloid1,2019-06-30T17:12:31+00:00,"9 days, 19:44:36",Can barely hear the guitars come on now...
ct_21,@72bryanb,2019-06-30T10:51:43+00:00,"9 days, 13:23:48","Awesome man - 20 years of great vibes, cheers Brant!"
ct_22,@Elduderino37,2019-06-30T10:35:07+00:00,"9 days, 13:07:12","Ah, great as always. Except for Sean “buzzkill” Wheeler. The guy just ruins the atmosphere with his narcissistic attention wanting demeanor. Saw them three times, two with Sean and those were great until he showed up on stage. Total mismatch with the vibe of Brant and the rest. Just leave the guy at home. I come for Brant Bjork, not Wheeler. Don’t care what kind of dessert wizzard hero he is to some people."
ct_23,@jesusjaviermolina2011,2019-06-30T02:56:25+00:00,"9 days, 5:28:30",Brant Amazing! Thanks from Argentina! 🤘
ct_24,@flamingdog76,2019-06-29T21:28:55+00:00,"9 days, 0:01:00",track at 53:37 is 'Lazy Bones'
ct_25,@dbruh5829,2019-06-29T15:08:00+00:00,"8 days, 17:40:05",Sooooo good....
ct_26,@vidanski,2019-06-29T12:18:46+00:00,"8 days, 14:50:51",Long live to brant Bjork
ct_27,@jimmyb207,2019-06-29T01:46:08+00:00,"8 days, 4:18:13",Yessah! It's time to spark it up!
ct_28,@michaellorenzen7410,2019-06-29T00:15:59+00:00,"8 days, 2:48:04",the low desert ! I am out of Brawley this / he rocks
ct_29,@vinylrecording,2019-06-28T17:24:17+00:00,"7 days, 19:56:22",0:17 Low Desert Punk5:18 Humble Pie10:23 Swagger & Sway14:40 Controllers Destroyed20:08 Lazy Wizards22:56 Mankind Woman27:23 Too many Chiefs – Not Enough Indians (1/2 step higher)32:07 Chocolatize (feat. Sean Wheeler)35:02 Biker No. 2 (feat. Sean Wheeler)39:15 Pretty Hairy (feat. Sean Wheeler)43:09 Somebody (feat. Sean Wheeler)(Smooth Transition)47:45 Nation of Indica (feat. Sean Wheeler)53:37 Lazy Bones55:21 Automatic FantasticKeep it up Freaks!-drdub
ct_30,@ftcaakabill,2019-06-28T15:22:54+00:00,"7 days, 17:54:59",can you add playlist please?
ct_31,@Snazzy_Pantz,2019-06-26T07:57:21+00:00,"5 days, 10:29:26",just freakin awesome!
ct_32,@s0m3cunt91,2019-06-26T02:12:27+00:00,"5 days, 4:44:32","English translationHe was a founding member of Kyuss and also played drums with Fu Manchu. For his buddy Josh Homme, he acted as a catalyst in the founding of the Queens Of The Stone Age. Brant Bjork, on the road since 1999, is one of the pioneers of the Stoner Rock. For many, he is the godfather of the genre.At some point he stopped counting her. And that's why Brant Bjork really does not know exactly how many albums he has published or how many he has been instrumental in. However, it is clear that as a musician, producer and head of his own record label, Brant Bjork, born in 1973, has long since become a hero status for his fans. And is either apostrophized as ""icon"" or ""legend"".Brant Bjork was a founding member of Kyuss, was also in Fu Manchu on drum kit and is still a multi-instrumentalist. His solo debut ""Jalamanta"" he played in 1999 with guitar, bass and drums completely himself. As a drummer of Kyuss and Fu Manchu, he became the forerunner of Stoner Rock when the genre was labeled as ""Desert Rock"". For many fans of the style direction he is considered a ""godfather"" of the style direction. With this praise, the musician who knows his buddy Josh Homme since high school times, little start. ""I do not want to be the godfather of whatever-whatsoever,"" Brant Bjork said in an interview. ""I'd rather see myself as a shaman. In the sense that I travel and with my music inspire other people to make music themselves. ""Whether shaman, icon or Godfather: Brant Bjork's solo album from 2018 is called ""Mankind Woman"" and is brimming with energy. And it is, as the artist says, like all his albums and for example, a song like ""Too Many Chiefs ... (Not Enough Indians""), ""political""."
ct_33,@javieredgardociceri2922,2019-06-26T00:29:27+00:00,"5 days, 3:01:32",the best riff!
ct_34,@judasvigilante,2019-06-25T21:11:05+00:00,"4 days, 23:43:10",sounding great Brant and band.
ct_35,@Dakinechefdude808,2019-06-24T19:46:30+00:00,"3 days, 22:18:35",Thanks from Palm Desert..BB never disappoints
ct_36,@victoraa1761,2019-06-24T11:00:10+00:00,"3 days, 13:32:15",Es cosa mía o aquí huele a desierto?
ct_37,@rodrigooviedo845,2019-06-23T00:17:13+00:00,"2 days, 2:49:18",Inoxidable!
ct_38,@doomedandstonedlatam,2019-06-22T20:14:07+00:00,"1 day, 22:46:12",El jefe <3
ct_39,@francoalexanderacuna5560,2019-06-22T19:33:53+00:00,"1 day, 22:05:58",cool thanks!!!!!!
ct_40,@planetestoner,2019-06-22T13:01:18+00:00,"1 day, 15:33:23",Sean Wheeler... what a beast !
ct_41,@svenjansen3640,2019-06-22T12:55:23+00:00,"1 day, 15:27:28",Nice !!! See him Monday at Aachen!!!
ct_42,@michaelhenaghan8673,2019-06-21T21:36:17+00:00,"1 day, 0:08:22","Low Desert Punk, one of the best tracks around"
ct_43,@SamGrantOfficial,2019-06-21T16:35:13+00:00,19:07:18,Fuck yeah!!
